balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
0,2,3,2,3,0-2,swing,0.0960429539007618
0,2,3,3,0,0-2,take,0.09206903521275123
0,2,3,3,1,0-2,take,0.09274348937966724
0,2,3,3,2,0-2,swing,0.10021641783612276
0,2,3,3,3,0-2,swing,0.0960429539007618
1,0,0,0,0,1-0,take,0.8284901427922695
1,0,0,0,1,1-0,take,0.8272020957865676
1,0,0,0,2,1-0,take,0.8278283067317962
1,0,0,0,3,1-0,take,0.8278283067317962
1,0,0,1,0,1-0,take,0.8284901427922695
1,0,0,1,1,1-0,take,0.8272020957865676
1,0,0,1,2,1-0,take,0.8278283067317962
1,0,0,1,3,1-0,take,0.8278283067317962
1,0,0,2,0,1-0,take,0.8284901427922695
1,0,0,2,1,1-0,take,0.8272020957865676
1,0,0,2,2,1-0,take,0.8278283067317962
1,0,0,2,3,1-0,take,0.8278283067317962
1,0,0,3,0,1-0,take,0.8284901427922695
1,0,0,3,1,1-0,take,0.8272020957865676
1,0,0,3,2,1-0,take,0.8278283067317962
1,0,0,3,3,1-0,take,0.8278283067317962
1,0,1,0,0,1-0,take,0.6155321593741863
1,0,1,0,1,1-0,take,0.6141718686513611
1,0,1,0,2,1-0,take,0.614670691827294
1,0,1,0,3,1-0,take,0.614670691827294
1,0,1,1,0,1-0,take,0.6155321593741863
1,0,1,1,1,1-0,take,0.6141718686513611
1,0,1,1,2,1-0,take,0.614670691827294
1,0,1,1,3,1-0,take,0.614670691827294
1,0,1,2,0,1-0,take,0.6155321593741863
1,0,1,2,1,1-0,take,0.6141718686513611
1,0,1,2,2,1-0,take,0.614670691827294
1,0,1,2,3,1-0,take,0.614670691827294
1,0,1,3,0,1-0,take,0.6155321593741863
1,0,1,3,1,1-0,take,0.6141718686513611
1,0,1,3,2,1-0,take,0.614670691827294
1,0,1,3,3,1-0,take,0.614670691827294
1,0,2,0,0,1-0,take,0.4471445431773864
1,0,2,0,1,1-0,take,0.44615637941597186
1,0,2,0,2,1-0,take,0.4465187423855467
1,0,2,0,3,1-0,take,0.4465187423855467
1,0,2,1,0,1-0,take,0.4471445431773864
1,0,2,1,1,1-0,take,0.44615637941597186
1,0,2,1,2,1-0,take,0.4465187423855467
1,0,2,1,3,1-0,take,0.4465187423855467
1,0,2,2,0,1-0,take,0.4471445431773864
1,0,2,2,1,1-0,take,0.44615637941597186
1,0,2,2,2,1-0,take,0.4465187423855467
1,0,2,2,3,1-0,take,0.4465187423855467
1,0,2,3,0,1-0,take,0.4471445431773864
1,0,2,3,1,1-0,take,0.44615637941597186
1,0,2,3,2,1-0,take,0.4465187423855467
1,0,2,3,3,1-0,take,0.4465187423855467
1,0,3,0,0,1-0,take,0.3248217637887063
1,0,3,0,1,1-0,take,0.32410392634013413
1,0,3,0,2,1-0,take,0.3243671597428627
1,0,3,0,3,1-0,take,0.3243671597428627
1,0,3,1,0,1-0,take,0.3248217637887063
1,0,3,1,1,1-0,take,0.32410392634013413
1,0,3,1,2,1-0,take,0.3243671597428627
1,0,3,1,3,1-0,take,0.3243671597428627
1,0,3,2,0,1-0,take,0.3248217637887063
1,0,3,2,1,1-0,take,0.32410392634013413
1,0,3,2,2,1-0,take,0.3243671597428627
1,0,3,2,3,1-0,take,0.3243671597428627
1,0,3,3,0,1-0,take,0.3248217637887063
1,0,3,3,1,1-0,take,0.32410392634013413
1,0,3,3,2,1-0,take,0.3243671597428627
1,0,3,3,3,1-0,take,0.3243671597428627
1,1,0,0,0,1-1,take,0.6424252356260478
1,1,0,0,1,1-1,take,0.6485600999925749
1,1,0,0,2,1-1,take,0.6476938125810795
1,1,0,0,3,1-1,take,0.6485860610953559
1,1,0,1,0,1-1,take,0.6424252356260478
1,1,0,1,1,1-1,take,0.6485600999925749
1,1,0,1,2,1-1,take,0.6476938125810795
1,1,0,1,3,1-1,take,0.6485860610953559
1,1,0,2,0,1-1,take,0.6424252356260478
1,1,0,2,1,1-1,take,0.6485600999925749
1,1,0,2,2,1-1,take,0.6476938125810795
1,1,0,2,3,1-1,take,0.6485860610953559
1,1,0,3,0,1-1,take,0.6424252356260478
1,1,0,3,1,1-1,take,0.6485600999925749
1,1,0,3,2,1-1,take,0.6476938125810795
1,1,0,3,3,1-1,take,0.6485860610953559
1,1,1,0,0,1-1,take,0.4791385160021822
1,1,1,0,1,1-1,take,0.47496765815781733
1,1,1,0,2,1-1,take,0.47308383231766976
1,1,1,0,3,1-1,take,0.4738247458653628
1,1,1,1,0,1-1,take,0.4791385160021822
1,1,1,1,1,1-1,take,0.47496765815781733
1,1,1,1,2,1-1,take,0.47308383231766976
1,1,1,1,3,1-1,take,0.4738247458653628
1,1,1,2,0,1-1,take,0.4791385160021822
1,1,1,2,1,1-1,take,0.47496765815781733
1,1,1,2,2,1-1,take,0.47308383231766976
1,1,1,2,3,1-1,take,0.4738247458653628
1,1,1,3,0,1-1,take,0.4791385160021822
1,1,1,3,1,1-1,take,0.47496765815781733
1,1,1,3,2,1-1,take,0.47308383231766976
1,1,1,3,3,1-1,take,0.4738247458653628
1,1,2,0,0,1-1,take,0.3480633295862328
1,1,2,0,1,1-1,take,0.34503346949347585
1,1,2,0,2,1-1,take,0.34366499112575544
1,1,2,0,3,1-1,take,0.3442032171871873
1,1,2,1,0,1-1,take,0.3480633295862328
1,1,2,1,1,1-1,take,0.34503346949347585
1,1,2,1,2,1-1,take,0.34366499112575544
1,1,2,1,3,1-1,take,0.3442032171871873
1,1,2,2,0,1-1,take,0.3480633295862328
1,1,2,2,1,1-1,take,0.34503346949347585
1,1,2,2,2,1-1,take,0.34366499112575544
1,1,2,2,3,1-1,take,0.3442032171871873
1,1,2,3,0,1-1,take,0.3480633295862328
1,1,2,3,1,1-1,take,0.34503346949347585
1,1,2,3,2,1-1,take,0.34366499112575544
1,1,2,3,3,1-1,take,0.3442032171871873
1,1,3,0,0,1-1,take,0.2528456324170647
1,1,3,0,1,1-1,take,0.2506446338458524
1,1,3,0,2,1-1,take,0.2496505222878009
1,1,3,0,3,1-1,take,0.25004150892008276
1,1,3,1,0,1-1,take,0.2528456324170647
1,1,3,1,1,1-1,take,0.2506446338458524
1,1,3,1,2,1-1,take,0.2496505222878009
1,1,3,1,3,1-1,take,0.25004150892008276
1,1,3,2,0,1-1,take,0.2528456324170647
1,1,3,2,1,1-1,take,0.2506446338458524
1,1,3,2,2,1-1,take,0.2496505222878009
1,1,3,2,3,1-1,take,0.25004150892008276
1,1,3,3,0,1-1,take,0.2528456324170647
1,1,3,3,1,1-1,take,0.2506446338458524
1,1,3,3,2,1-1,take,0.2496505222878009
1,1,3,3,3,1-1,take,0.25004150892008276
1,2,0,0,0,1-2,swing,0.33725065735482945
1,2,0,0,1,1-2,swing,0.34470326397281836
1,2,0,0,2,1-2,swing,0.3702706909290723
1,2,0,0,3,1-2,swing,0.37483378984256727
1,2,0,1,0,1-2,swing,0.33725065735482945
1,2,0,1,1,1-2,swing,0.34470326397281836
1,2,0,1,2,1-2,swing,0.3702706909290723
1,2,0,1,3,1-2,swing,0.37483378984256727
1,2,0,2,0,1-2,swing,0.33725065735482945
1,2,0,2,1,1-2,swing,0.34470326397281836
1,2,0,2,2,1-2,swing,0.3702706909290723
1,2,0,2,3,1-2,swing,0.37483378984256727
1,2,0,3,0,1-2,swing,0.33725065735482945
1,2,0,3,1,1-2,swing,0.34470326397281836
1,2,0,3,2,1-2,swing,0.3702706909290723
1,2,0,3,3,1-2,swing,0.37483378984256727
1,2,1,0,0,1-2,take,0.2506787464212192
1,2,1,0,1,1-2,take,0.2529000405781737
1,2,1,0,2,1-2,take,0.24675501614722506
